,도서명,판매시작일,가격
0,SQL 자격검정 실전문제,2016년 11월 17일,"16,200"
1,SQL 개발자 이론서+기출문제(2020),2020년 04월 14일,"19,800"
2,SQL 전문가 가이드(2020),2020년 05월 29일,"50,000"
3,모두의 SQL,2018년 09월 21일,"16,200"
4,친절한 SQL 튜닝,2018년 06월 01일,"34,200"
5,손에 잡히는 10분 SQL,2020년 10월 16일,"16,200"
6,SQL 첫걸음,2015년 11월 01일,"19,800"
7,초보자를 위한 SQL 200제(PL/SQL),2020년 05월 20일,"22,500"
8,SQL 레벨업,2016년 01월 30일,"21,600"
9,데이터 분석을 위한 SQL 레시피,2018년 04월 01일,"32,400"
10,칼퇴족 김대리는 알고 나만 모르는 SQL: 기초편,2014년 09월 05일,"9,900"
11,SQL로 맛보는 데이터 전처리 분석,2020년 01월 31일,"21,600"
12,SQL 코딩의 기술,2017년 11월 30일,"25,200"
13,MS SQL Server 기본에서 실무까지,2020년 09월 30일,"22,500"
14,누구나 쉽게 SQL,2019년 06월 13일,"13,500"
15,SQL AntiPatterns,2011년 06월 27일,"23,400"
16,하루 10분 SQL,2020년 07월 10일,"21,600"
17,불친절한 SQL 프로그래밍,2018년 09월 10일,"39,600"
18,Oracle SQL 실전튜닝 기본해법,2014년 01월 02일,"28,800"
19,PostgreSQL로 시작하는 SQL 코딩입문: Part 1 기본편,2018년 11월 27일,"13,500"
20,SQL 자격검정 실전문제,2016년 11월 17일,"16,200"
21,SQL 개발자 이론서+기출문제(2020),2020년 04월 14일,"19,800"
22,SQL 전문가 가이드(2020),2020년 05월 29일,"50,000"
23,모두의 SQL,2018년 09월 21일,"16,200"
24,친절한 SQL 튜닝,2018년 06월 01일,"34,200"
25,손에 잡히는 10분 SQL,2020년 10월 16일,"16,200"
26,SQL 첫걸음,2015년 11월 01일,"19,800"
27,초보자를 위한 SQL 200제(PL/SQL),2020년 05월 20일,"22,500"
28,SQL 레벨업,2016년 01월 30일,"21,600"
29,데이터 분석을 위한 SQL 레시피,2018년 04월 01일,"32,400"
30,칼퇴족 김대리는 알고 나만 모르는 SQL: 기초편,2014년 09월 05일,"9,900"
31,SQL로 맛보는 데이터 전처리 분석,2020년 01월 31일,"21,600"
32,SQL 코딩의 기술,2017년 11월 30일,"25,200"
33,MS SQL Server 기본에서 실무까지,2020년 09월 30일,"22,500"
34,누구나 쉽게 SQL,2019년 06월 13일,"13,500"
35,SQL AntiPatterns,2011년 06월 27일,"23,400"
36,하루 10분 SQL,2020년 07월 10일,"21,600"
37,불친절한 SQL 프로그래밍,2018년 09월 10일,"39,600"
38,Oracle SQL 실전튜닝 기본해법,2014년 01월 02일,"28,800"
39,PostgreSQL로 시작하는 SQL 코딩입문: Part 1 기본편,2018년 11월 27일,"13,500"
